        c12         c13         c14 
  6.0250015   8.8560009  10.0790005 
  5.0279999   7.0159988   8.1529999 
  4.9279995   6.4689999   7.6199989 
  4.3600006   5.8700008   6.9420013 
  4.9580002   6.8409996   7.9130001 
  4.3400002   5.9870014   7.0200005 
  2.9359989   3.8990002   4.8230000 
  5.3630009   7.4309998   8.5520000 
  3.5709991   4.8179989   5.7939987 
  4.4659996   6.0499992   7.0860004 
  6.4649982   8.5590000   9.6339989 
  3.5939999   4.8589993   5.8549995 
  6.5160007   8.9120007   9.9549999 
  4.2390003   6.3549995   7.4540005 
  4.2910004   5.7740002   6.8940010 
  2.0209999   2.9480000   3.0709991 
  4.9739990   7.3279991   8.3820000 
  3.7570000   5.0669994   6.0410004 
  3.2800007   7.1170006   8.1860008 
  5.4090004   7.8990002   9.0130005 
  6.4069996   8.7380009   9.8589993 
  5.4060001   7.0050011   8.0930004 
  4.7910004   6.6070004   7.6630001 
  5.3779984   7.3039989   8.3319988 
  4.0639992   5.4749985   6.4909992 
  4.7430000   6.6259995   7.6869984 
  3.8629990   5.4680004   6.3880005 
  5.4060001   7.9180012   9.0090008 
  4.2769985   5.8389988   6.9259987 
  5.0499992   7.1510010   8.1860008 
  6.1469994   8.7479992   9.8459988 
  5.8290005   8.0139999   9.0790005 
  4.8750000   6.8760014   7.8500004 
  5.0970001   7.0139999   8.0419998 
  4.8180008   7.0990009   8.1660004 
  5.7980003   8.0240002   9.1919994 
  5.0009995   6.1659985   7.2299995 
  5.9300003   8.2749996   9.3789997 
  4.9279995   6.9410000   7.9270000 
  5.1720009   7.0190010   8.0750008 
  3.5799999   4.8120003   5.8020000 
  4.0809994   5.4729996   6.4819984 
  4.1569996   5.8600006   6.9759998 
  3.2620010   3.9880009   4.9050007 
  3.3349991   4.4699993   5.4319992 
  5.0089989   6.7740002   7.8759995 
  4.9370003   6.7430000   7.8820000 
  5.8760014   8.3790016   9.4549999 
  3.9710007   5.3170013   6.3020000 
  5.7969990   8.1159992   9.3169994 
  5.0960007   6.9879990   8.0380001 
  5.7799988   7.9410000   9.0269985 
  1.2010002   1.5610008   2.0380001 
  4.0559998   5.5769997   6.5989990 
  3.7879982   5.0879993   6.0959988 
  5.5540009   7.5489998   8.7019997 
  4.7660007   6.8940010   7.9930000 
  5.1050014   7.0600014   8.1750011 
  5.0380001   6.8640003   7.8780003 
  3.9519997   4.8999996   5.8369999 
  5.2119999   6.1100006   7.0820007 
  2.6359997   7.1329994   8.3230000 
  4.9399986   6.0819988   7.0739994 
  4.7290001   6.8309994   7.8279991 
  5.6219997   7.6170006   8.6429996 
  4.9090004   6.8899994   7.9470005 
  5.7419987   7.8909988   9.0269985 
  4.7399998   6.6140003   7.5890007 
  4.9469986   7.0309982   8.1369991 
  4.3769989   5.9790001   7.0209999 
  4.7570000   6.4099998   7.4829998 
  4.5270004   6.2840004   7.3299999 
  5.0760002   7.7469997   8.8969994 
  2.8360004   3.7840004   4.7350006 
  4.7989998   6.5270004   7.5670013 
  4.7530003   6.6760006   7.6860008 
  1.7709999   2.3009987   2.9599991 
  5.1410007   7.1060009   8.1189995 
  3.9170017   5.4360008   6.5290012 
  4.2819996   5.8349991   6.8419991 
  4.0570011   5.5209999   6.5330009 
  6.3640003   8.2899990   9.2549992 
  4.4570007   6.1790009   7.2819996 
  6.0119991   8.6759987   9.8050003 
  4.6129990   6.6520004   7.6399994 
  5.1350002   7.0330009   8.0820007 
  5.5520000   6.7829990   7.9419994 
  5.2320004   7.2229996   8.3070011 
  4.1779995   5.6210003   6.6599998 
  5.0750008   6.9510002   8.0460014 
  5.1970005   7.4850006   8.5220013 
  6.0090008   8.1000004   9.1670017 
  4.0209999   5.3899994   6.4499989 
  2.4329987   3.2619991   4.0949993 
  4.0520000   5.4500008   6.4880009 
  4.1679993   6.4370003   7.4950008 
  4.8789997   7.0029984   8.0559998 
  4.5900002   6.6890011   7.7440014 
  3.9489994   6.3949986   7.4349995 
  4.4850006   6.0989990   7.1630001 
  5.6509991   6.2870007   7.3150005 
  4.2000008   6.1110001   7.0840015 
  5.6049995   7.7469997   8.8910007 
  4.5189991   6.0649986   6.7839985 
  3.3020000   4.4319992   5.3549995 
  4.7189999   5.8010006   6.9500008 
  4.9229984   7.3479996   8.4949989 
  5.2329998   7.2340012   8.3760014 
  4.0100002   5.3789997   6.4720001 
  5.3470001   6.3889999   7.5170002 
  5.0240002   7.0769997   8.1359997 
  3.8559990   5.1630001   6.1980000 
  5.2619991   7.3269997   8.3880005 
  5.7280006   8.2460003   9.4050007 
  3.7950001   5.1089993   6.1520004 
  4.2759991   6.0579987   7.0839996 
  4.7080002   6.5720005   7.6170006 
  5.8289986   7.7290001   8.9449997 
  5.2250004   7.0310001   8.1160011 
  5.2300014   7.3959999   8.4800014 
  4.8330002   6.4010010   7.4600010 
  4.8870010   6.6630001   7.7119999 
  2.7340012   3.6670017   4.5980015 
  4.2849998   5.9420013   6.9150009 
  3.7910004   5.0979996   6.0550003 
  4.6529999   6.4109993   7.4309998 
  3.3439999   4.5179996   5.5059986 
  3.3419991   4.2369995   5.0639992 
  4.4480000   6.0400009   7.0300007 
  3.9129982   5.2719994   6.1149998 
  4.2529984   6.3680000   7.3809986 
  3.9330006   5.3209991   6.3199997 
  3.5790005   4.7940006   5.7919998 
  4.6660004   6.2840004   7.3660011 
  5.1329994   6.8529987   7.8570004 
  5.6459999   6.6560001   7.8590012 
  4.7360001   6.1689987   7.3189983 
  3.6140003   4.9090004   5.8900013 
  4.4639988   6.0629997   7.0970001 
  4.9489994   6.9279995   8.0240002 
  4.7600002   6.6449986   7.6459999 
  4.9219990   6.4549999   7.4610004 
  2.9059982   3.9099998   4.8569984 
  4.1889992   5.6700001   6.7250004 
  4.7360001   6.5830002   7.6170006 
  4.9920006   6.7840004   7.9190006 
  3.7880001   5.1339989   6.1389999 
  5.2900009   7.1200008   8.1809998 
  5.5650005   7.6800003   8.7229996 
  5.1620007   7.1860008   8.1919994 
  4.1509991   5.8179989   6.8689995 
  3.9920006   5.2270012   6.2730007 
  3.9039993   5.2049999   6.2199993 
  5.0660000   6.0820007   7.1990013 
  3.6560001   4.9300003   5.9080009 
  4.6060009   6.4090004   7.4260006 
  4.0909996   5.5370007   6.5470009 
  4.9060001   7.1989994   8.3269997 
  3.2089996   4.2779999   5.2029991 
  4.7760010   6.2830009   7.4290009 
  4.0030003   5.6749992   6.7670002 
  3.7420006   5.1630001   6.1520004 
  4.6469994   6.3899994   7.5049992 
  4.7639999   6.6110001   7.5089989 
  4.5459995   6.2510014   7.2310009 
  5.1700001   7.5660000   8.6059990 
